iter	Passed	Remaining
0	195	195506
1	200	100132
2	202	67430
3	205	51282
4	209	41628
5	218	36196
6	220	31340
7	223	27688
8	225	24856
9	229	22744
10	232	20903
11	236	19442
12	239	18197
13	243	17166
14	246	16162
15	248	15281
16	251	14514
17	253	13842
18	261	13485
19	263	12934
20	266	12411
21	269	11974
22	276	11765
23	279	11352
24	281	10964
25	283	10605
26	285	10272
27	298	10361
28	300	10058
29	303	9821
30	306	9576
31	308	9331
32	310	9102
33	312	8886
34	315	8699
35	319	8550
36	321	8369
37	323	8198
38	327	8057
39	358	8603
40	360	8442
41	363	8285
42	373	8308
43	375	8159
44	377	8015
45	385	7987
46	387	7859
47	389	7733
48	392	7609
49	398	7572
50	401	7464
51	403	7359
52	406	7256
53	417	7314
54	419	7213
55	437	7377
56	447	7399
57	449	7300
58	452	7209
59	458	7181
60	460	7089
61	466	7059
62	469	6985
63	502	7342
64	510	7344
65	513	7272
66	516	7189
67	517	7092
68	525	7088
69	528	7015
70	530	6938
71	532	6865
72	547	6947
73	557	6974
74	559	6906
75	562	6841
76	579	6950
77	582	6883
78	598	6980
79	608	6995
80	611	6938
81	614	6882
82	622	6872
83	627	6845
84	629	6776
85	632	6717
86	634	6654
87	636	6597
88	647	6630
89	650	6572
90	653	6524
91	659	6510
92	667	6508
93	670	6460
94	672	6407
95	681	6416
96	690	6425
97	699	6438
98	711	6479
99	717	6454
100	719	6407
101	721	6347
102	723	6304
103	753	6489
104	755	6440
105	758	6395
106	760	6347
107	769	6355
108	771	6310
109	774	6265
110	776	6220
111	779	6176
112	781	6131
113	783	6087
114	785	6042
115	786	5994
116	798	6024
117	800	5981
118	801	5934
119	807	5921
120	809	5880
121	811	5840
122	812	5791
123	814	5752
124	816	5712
125	818	5677
126	820	5640
127	821	5598
128	827	5589
129	830	5556
130	836	5550
131	838	5516
132	849	5540
133	852	5508
134	854	5476
135	857	5450
136	860	5422
137	865	5406
138	868	5377
139	871	5354
140	881	5371
141	884	5345
142	887	5319
143	890	5290
144	892	5261
145	897	5251
146	900	5226
147	902	5198
148	905	5172
149	908	5145
150	910	5119
151	913	5095
152	915	5067
153	917	5040
154	924	5037
155	928	5023
156	930	4998
157	933	4975
158	938	4963
159	944	4960
160	946	4934
161	949	4909
162	951	4884
163	956	4878
164	959	4854
165	961	4829
166	963	4804
167	965	4780
168	970	4771
169	972	4747
170	974	4723
171	976	4699
172	978	4675
173	979	4651
174	981	4627
175	983	4604
176	985	4581
177	987	4559
178	989	4537
179	991	4516
180	992	4490
181	997	4482
182	998	4459
183	1000	4434
184	1001	4411
185	1002	4388
186	1004	4365
187	1005	4342
188	1006	4319
189	1012	4315
